2023-11-09 at 21:53:52 | INFO | payment_check_coroutine : Checking payment at 1076617.89
2023-11-09 at 21:53:52 | INFO | payment_check_coroutine : Check result: False, time: 1076618.031
2023-11-09 at 21:53:54 | INFO | payment_check_coroutine : Checking payment at 1076620.031
2023-11-09 at 21:53:54 | INFO | payment_check_coroutine : Check result: False, time: 1076620.171
2023-11-09 at 21:53:56 | INFO | payment_check_coroutine : Checking payment at 1076622.171
2023-11-09 at 21:53:56 | INFO | payment_check_coroutine : Check result: False, time: 1076622.343
2023-11-09 at 21:53:58 | INFO | payment_check_coroutine : Checking payment at 1076624.343
2023-11-09 at 21:53:58 | INFO | payment_check_coroutine : Check result: False, time: 1076624.484
2023-11-09 at 21:54:00 | INFO | payment_check_coroutine : Checking payment at 1076626.484
2023-11-09 at 21:54:00 | INFO | payment_check_coroutine : Check result: True, time: 1076626.625
2023-11-09 at 21:54:01 | INFO | payment_check_coroutine : Payment confirmed
2023-11-09 at 21:54:01 | INFO | payment_check_coroutine : An error occurred: 'email'
2023-11-09 at 22:18:22 | INFO | save_email : Email from form: 
2023-11-09 at 22:21:01 | INFO | save_email : Email from form: 
